hook_left|p06_Global|hook_left_001,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_hook_left_main_011,0.2477994643056264,0.18086028098737658,0.2353477893161985,0.1316165814613634,0.3493642766844768,0.17531686798878415,0.26923891484419976,0.17065149000246346,0.18464314093368678,0.2969630949330727,0.2184255547333353,0.09778471919734728,0.19441278441151655,0.26221383901166406,0.34627078874527273,0.19929296241192582,0.9165519460439334,0.32010340277204363,0.3228937469247827,0.34346515103186814,0.32987858133758347,0.05104760192006298,0.05116831745750158,0.04771583224642563,0.587679365072703,0.8502289119282294,0.4489723720873275
p06_hook_left_main_012,0.2586405223557554,0.13545222831951162,0.1488138816943238,0.06863928900188458,0.3277299203682693,0.1724925467064164,0.2482418528964859,0.18527658501318373,0.17886309963524832,0.3326453645989239,0.2227706476993428,0.1137320311923515,0.18168787343289372,0.2514688845812302,0.3153159501363962,0.16041166347948344,0.8922061298054988,0.2901783352827527,0.2896554511024766,0.3689727916152088,0.35752716280424346,0.05068840882978978,0.04875806041671426,0.047626847089416814,0.5770935097309835,0.7962499342675857,0.42193839067850125
p06_hook_left_main_013,0.31844987156944315,0.16240554112280406,0.1154783981381812,0.09527919832554226,0.2999282904852776,0.18797353363558397,0.30385319151900586,0.19116530894100822,0.1924755909688287,0.2773161116881086,0.26319097156000393,0.13680980069953172,0.1946599599495673,0.27142756752085595,0.35190091255318867,0.18073604772532792,0.9293624734019534,0.3301575972797138,0.3316041758284201,0.3177771898158408,0.3051174555592108,0.05339478179716188,0.05157632574870018,0.04771683287700309,0.5391698382305761,0.8694790509146467,0.4585979418958249
p06_hook_left_main_014,0.27908662900073933,0.14890545648852493,0.15195002599831922,0.09273122906397122,0.34947385461602726,0.17802868254519177,0.26660064130437217,0.18953383155675343,0.1917687226134768,0.32676823882162775,0.2154728205792334,0.11812888708034423,0.19397478439066368,0.2640669588507931,0.341067937565162,0.1774503048555826,0.9059618872401721,0.3041575893575627,0.3034804824996816,0.37282376381564725,0.3586193404800539,0.050815049812109325,0.04937715941838524,0.04781699828707392,0.5868422247808426,0.8425820914150279,0.44519954485105095
p06_hook_left_main_015,0.30443388727118315,0.1576346226770791,0.08443292095135098,0.06760766286162471,0.309688687378668,0.17113306834592037,0.21218157029921442,0.10761498139387923,0.19332562179061746,0.2525045268916221,0.24450310466936168,0.12595608209904138,0.19631151069993935,0.27839263832219113,0.35568526274058876,0.18689251612433094,0.9186752202397402,0.31911056482045375,0.31983137447818877,0.3391375099934425,0.3274303990493519,0.052084066957883805,0.04948560595290779,0.047826149204380344,0.5195922485657822,0.814508376118581,0.43116726266148064
p06_hook_left_main_016,0.298552340720243,0.16106122734002964,0.08627965359582711,0.07845485426019773,0.2980376241264092,0.16405539383943274,0.2686502015436313,0.16050070872568586,0.17108120442319583,0.2630210086993898,0.2551938150778278,0.12582709389564933,0.1888717244036095,0.28194765284823,0.37473526762644677,0.1970886497930337,0.8963682300715549,0.29410440170728647,0.29522835402997033,0.32553230353772183,0.3198065143454838,0.05288374201180462,0.048924905699458024,0.04768864857747749,0.539075185513614,0.8156293056022228,0.4316589770898501
p06_hook_left_main_017,0.2923747164762154,0.12473336011551554,0.11235755119439814,0.09741833400457918,0.3153349824937086,0.16794472730712337,0.23713651664225135,0.16625214596258622,0.176091492764202,0.2509838792133034,0.26186207097909253,0.12425762252607639,0.19063336633786923,0.26948546698413134,0.3543963783091627,0.1986462787150147,0.9126247655859387,0.31290144083754634,0.31400146793106687,0.2959332194079297,0.28809051814025544,0.053373265679682626,0.04865955872283814,0.04762207096933883,0.5003779734078617,0.8247551833519283,0.43618862716063356
p06_hook_left_main_018,0.2811513056474807,0.1404916955590666,0.08841323553515347,0.06797572524517055,0.3084978703900425,0.15970648753201402,0.25482210664157035,0.1621343935501725,0.18437526653996567,0.27073847700102416,0.28102788704596454,0.12632685006144867,0.17897533767724946,0.2711409982548759,0.3600383472259276,0.186718388321491,0.9010192872685636,0.29949871288444935,0.27458906987610937,0.2864042310319161,0.2988304751325666,0.052899600945813446,0.048229249606447505,0.047621538016344604,0.5270688095767095,0.8031018160977696,0.42536167705705713
p06_hook_left_main_019,0.24920518063514127,0.13069175759462778,0.13364018620567203,0.0635594019321418,0.33397821557689944,0.16711949662667644,0.2327326435364677,0.17520040603207504,0.18037402869786162,0.33725888677027,0.23768469304792653,0.11739217955144629,0.18528383317959712,0.24262636725967165,0.33445250380126434,0.17954443008712997,0.8715345268444015,0.2671826972071317,0.26443424069394317,0.31505696377026454,0.3077242024706365,0.05033682762731044,0.04797826652193595,0.047630885556735496,0.5396792956830495,0.7949912118918954,0.4213110487243154
p06_hook_left_main_020,0.24031290325863472,0.10309959969869983,0.09788717950177188,0.05776986960091342,0.34039329941866797,0.1678373275045353,0.2652203510797693,0.17567372732836814,0.17432774636207585,0.26299840003321473,0.27648186061847313,0.13719333982304666,0.18653497596476756,0.2691601065045579,0.34828011420586497,0.19520393904011837,0.8705655329482592,0.2702940145483076,0.2679487245428679,0.33223743225177166,0.3275988085833313,0.051620270999442094,0.04795305297611437,0.04762350056840493,0.5153244516126242,0.8086342961268491,0.428128898347627
