subject_id,motion,record_id,feature,condition,value
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,rotation,Pre,0.8151737905733609
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,rotation,Pre,0.5765480020929356
p13,Global,hook_left_p13_Global_002_similarity_matrix,rotation,Main,0.8096814174968204
p13,Global,hook_right_p13_Global_001_similarity_matrix,rotation,Main,0.29745641486049834
p13,Global,jap_p13_Global_similarity_matrix,rotation,Main,0.8783096407624444
p13,Global,straight_p13_Global_003_similarity_matrix,rotation,Main,0.7249543658187163
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,rotation,Main,0.7940720010747638
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,rotation,Main,0.6248121221325428
p13,Global,hook_left_p13_Global_002_similarity_matrix,rotation,Post,0.748653314251032
p13,Global,hook_right_p13_Global_001_similarity_matrix,rotation,Post,0.21805747441242201
p13,Global,jap_p13_Global_similarity_matrix,rotation,Post,0.8853057770042098
p13,Global,straight_p13_Global_003_similarity_matrix,rotation,Post,0.7060085210889694
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,rotation,Post,0.7880529634514284
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,rotation,Post,0.5262490025247833
p13,Global,hook_left_p13_Global_002_similarity_matrix,Velocity,Pre,0.06741739746192592
p13,Global,hook_right_p13_Global_001_similarity_matrix,Velocity,Pre,0.048198102192781936
p13,Global,jap_p13_Global_similarity_matrix,Velocity,Pre,0.04846625457896877
p13,Global,straight_p13_Global_003_similarity_matrix,Velocity,Pre,0.050802189440999866
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Velocity,Pre,0.04824436481027997
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Velocity,Pre,0.048304492815273145
p13,Global,hook_left_p13_Global_002_similarity_matrix,Velocity,Main,0.06765212429535679
p13,Global,hook_right_p13_Global_001_similarity_matrix,Velocity,Main,0.048463032031725195
p13,Global,jap_p13_Global_similarity_matrix,Velocity,Main,0.04883756279978108
p13,Global,straight_p13_Global_003_similarity_matrix,Velocity,Main,0.04996011337421649
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Velocity,Main,0.048100312326615394
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Velocity,Main,0.048042323449937356
p13,Global,hook_left_p13_Global_002_similarity_matrix,Velocity,Post,0.06835944584559563
p13,Global,hook_right_p13_Global_001_similarity_matrix,Velocity,Post,0.048106120336525914
p13,Global,jap_p13_Global_similarity_matrix,Velocity,Post,0.049170609019244964
p13,Global,straight_p13_Global_003_similarity_matrix,Velocity,Post,0.04819153043016509
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Velocity,Post,0.04801057283751253
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Velocity,Post,0.04801090180158281
p14,Global,hook_left_p14_Global_002_similarity_matrix,Acceleration,Pre,0.0736955495724256
p14,Global,hook_right_p14_Global_001_similarity_matrix,Acceleration,Pre,0.05579183489566101
p14,Global,jap_p14_Global_similarity_matrix,Acceleration,Pre,0.04801070541518444
p14,Global,straight_p14_Global_003_similarity_matrix,Acceleration,Pre,0.048722020425749454
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Acceleration,Pre,0.05040793348166115
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Acceleration,Pre,0.05234573205384011
p14,Global,hook_left_p14_Global_002_similarity_matrix,Acceleration,Main,0.07276199385401792
p14,Global,hook_right_p14_Global_001_similarity_matrix,Acceleration,Main,0.05866081239477596
p14,Global,jap_p14_Global_similarity_matrix,Acceleration,Main,0.04973890631237925
p14,Global,straight_p14_Global_003_similarity_matrix,Acceleration,Main,0.048875704447279913
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Acceleration,Main,0.050402311194832225
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Acceleration,Main,0.052114266467773375
p14,Global,hook_left_p14_Global_002_similarity_matrix,Acceleration,Post,0.07217983062138077
