File,Column,Pre_Avg,Main_Avg,Post_Avg
hook_left_p04_Global_hook_left_003_similarity_matrix,LShoulder,0.227503242,0.23471447,0.258235667
hook_left_p04_Global_hook_left_003_similarity_matrix,LUArm,0.15167369,0.1753429,0.174523301
hook_left_p04_Global_hook_left_003_similarity_matrix,LFArm,0.14407131,0.223439214,0.198294129
hook_left_p04_Global_hook_left_003_similarity_matrix,LHand,0.075631608,0.136656131,0.135146664
hook_left_p04_Global_hook_left_003_similarity_matrix,RShoulder,0.174078137,0.186513204,0.198914273
hook_left_p04_Global_hook_left_003_similarity_matrix,RUArm,0.30345406,0.283965229,0.305626457
hook_left_p04_Global_hook_left_003_similarity_matrix,RFArm,0.201341396,0.190787902,0.208805656
hook_left_p04_Global_hook_left_003_similarity_matrix,RHand,0.115315531,0.118461309,0.145029728
hook_left_p04_Global_hook_left_003_similarity_matrix,LThigh,0.177676684,0.177812151,0.188617562
hook_left_p04_Global_hook_left_003_similarity_matrix,LShin,0.25652503,0.302345272,0.312277279
hook_left_p04_Global_hook_left_003_similarity_matrix,LFoot,0.239140923,0.200916123,0.2031606
hook_left_p04_Global_hook_left_003_similarity_matrix,LToe,0.127932893,0.120501169,0.119056667
hook_left_p04_Global_hook_left_003_similarity_matrix,RThigh,0.1806712,0.168092792,0.180982946
hook_left_p04_Global_hook_left_003_similarity_matrix,RShin,0.305308653,0.228486367,0.248281215
hook_left_p04_Global_hook_left_003_similarity_matrix,RFoot,0.324140974,0.310908376,0.341966387
hook_left_p04_Global_hook_left_003_similarity_matrix,RToe,0.164908759,0.154883908,0.168602682
hook_left_p04_Global_hook_left_003_similarity_matrix,Hip,0.894360051,0.935078327,0.925776022
hook_left_p04_Global_hook_left_003_similarity_matrix,Ab,0.285101991,0.334409613,0.327097554
hook_left_p04_Global_hook_left_003_similarity_matrix,Chest,0.289495219,0.335019662,0.326837472
hook_left_p04_Global_hook_left_003_similarity_matrix,Neck,0.236768091,0.211882414,0.218573084
hook_left_p04_Global_hook_left_003_similarity_matrix,Head,0.227699666,0.209661289,0.220876067
hook_left_p04_Global_hook_left_003_similarity_matrix,Acceleration,0.068978835,0.067545824,0.070263243
hook_left_p04_Global_hook_left_003_similarity_matrix,Velocity,0.06525707,0.064352821,0.067360931
hook_left_p04_Global_hook_left_003_similarity_matrix,Position,0.047631036,0.04770201,0.047738448
hook_left_p04_Global_hook_left_003_similarity_matrix,Joint Angle,0.370794153,0.373595177,0.375209304
hook_left_p04_Global_hook_left_003_similarity_matrix,rotation,0.792024568,0.810196282,0.851229539
hook_left_p04_Global_hook_left_003_similarity_matrix,Overall,0.419827802,0.428949146,0.449483993
hook_left_p04_Global_hook_left_004_similarity_matrix,LShoulder,0.320883892,0.338149775,0.347806
hook_left_p04_Global_hook_left_004_similarity_matrix,LUArm,0.082224491,0.11595649,0.101719931
hook_left_p04_Global_hook_left_004_similarity_matrix,LFArm,0.049973028,0.120844725,0.103120602
hook_left_p04_Global_hook_left_004_similarity_matrix,LHand,0.027432931,0.0745724,0.066623214
hook_left_p04_Global_hook_left_004_similarity_matrix,RShoulder,0.223643235,0.260938327,0.269488659
hook_left_p04_Global_hook_left_004_similarity_matrix,RUArm,0.158576234,0.147928248,0.15879632
hook_left_p04_Global_hook_left_004_similarity_matrix,RFArm,0.25688547,0.229333042,0.243013878
hook_left_p04_Global_hook_left_004_similarity_matrix,RHand,0.103887144,0.107690821,0.130136649
hook_left_p04_Global_hook_left_004_similarity_matrix,LThigh,0.190837017,0.187442033,0.190967578
hook_left_p04_Global_hook_left_004_similarity_matrix,LShin,0.187141676,0.223346705,0.228980138
hook_left_p04_Global_hook_left_004_similarity_matrix,LFoot,0.192521966,0.143434799,0.150875333
hook_left_p04_Global_hook_left_004_similarity_matrix,LToe,0.102870897,0.095769213,0.096991164
hook_left_p04_Global_hook_left_004_similarity_matrix,RThigh,0.170438934,0.157317789,0.168424602
hook_left_p04_Global_hook_left_004_similarity_matrix,RShin,0.287835125,0.216768639,0.240318858
hook_left_p04_Global_hook_left_004_similarity_matrix,RFoot,0.262884828,0.276762454,0.301707353
hook_left_p04_Global_hook_left_004_similarity_matrix,RToe,0.11914289,0.109984946,0.121286122
hook_left_p04_Global_hook_left_004_similarity_matrix,Hip,0.860019818,0.894437147,0.881511268
hook_left_p04_Global_hook_left_004_similarity_matrix,Ab,0.255621906,0.292811355,0.281927881
hook_left_p04_Global_hook_left_004_similarity_matrix,Chest,0.253828651,0.291616548,0.281138929
hook_left_p04_Global_hook_left_004_similarity_matrix,Neck,0.206104215,0.18971393,0.192123334
hook_left_p04_Global_hook_left_004_similarity_matrix,Head,0.201802678,0.195048881,0.203180935
hook_left_p04_Global_hook_left_004_similarity_matrix,Acceleration,0.052150308,0.050951113,0.051983822
hook_left_p04_Global_hook_left_004_similarity_matrix,Velocity,0.048813889,0.048869797,0.049221516
hook_left_p04_Global_hook_left_004_similarity_matrix,Position,0.047623794,0.047626332,0.047629878
hook_left_p04_Global_hook_left_004_similarity_matrix,Joint Angle,0.36808895,0.379308913,0.383858993
hook_left_p04_Global_hook_left_004_similarity_matrix,rotation,0.711629754,0.729658331,0.755410405
hook_left_p04_Global_hook_left_004_similarity_matrix,Overall,0.379626774,0.388642331,0.401520142
hook_left_p04_Global_hook_left_005_similarity_matrix,LShoulder,0.33159818,0.331278913,0.34456126
hook_left_p04_Global_hook_left_005_similarity_matrix,LUArm,0.155703092,0.167405423,0.15378522
hook_left_p04_Global_hook_left_005_similarity_matrix,LFArm,0.128339447,0.195395176,0.161329047
hook_left_p04_Global_hook_left_005_similarity_matrix,LHand,0.077052231,0.129188394,0.112786358
hook_left_p04_Global_hook_left_005_similarity_matrix,RShoulder,0.238647993,0.271491149,0.279890135
hook_left_p04_Global_hook_left_005_similarity_matrix,RUArm,0.068269668,0.06710549,0.065477691
hook_left_p04_Global_hook_left_005_similarity_matrix,RFArm,0.152062633,0.137509311,0.145135792
hook_left_p04_Global_hook_left_005_similarity_matrix,RHand,0.116135829,0.120561366,0.140442609
hook_left_p04_Global_hook_left_005_similarity_matrix,LThigh,0.183399972,0.17803041,0.175157387
hook_left_p04_Global_hook_left_005_similarity_matrix,LShin,0.231052584,0.280253395,0.268737008
hook_left_p04_Global_hook_left_005_similarity_matrix,LFoot,0.192130239,0.145439073,0.147337679
hook_left_p04_Global_hook_left_005_similarity_matrix,LToe,0.096826524,0.087618479,0.084888958
hook_left_p04_Global_hook_left_005_similarity_matrix,RThigh,0.187106333,0.177637133,0.182891788
hook_left_p04_Global_hook_left_005_similarity_matrix,RShin,0.310855432,0.249699637,0.264779111
hook_left_p04_Global_hook_left_005_similarity_matrix,RFoot,0.319833803,0.329382053,0.353720788
hook_left_p04_Global_hook_left_005_similarity_matrix,RToe,0.170778571,0.160740583,0.173118114
hook_left_p04_Global_hook_left_005_similarity_matrix,Hip,0.858284526,0.887011057,0.871321227
hook_left_p04_Global_hook_left_005_similarity_matrix,Ab,0.255319172,0.289275843,0.279987367
hook_left_p04_Global_hook_left_005_similarity_matrix,Chest,0.259246572,0.290865464,0.281049284
hook_left_p04_Global_hook_left_005_similarity_matrix,Neck,0.224775494,0.205064693,0.206102641
hook_left_p04_Global_hook_left_005_similarity_matrix,Head,0.212534173,0.200225621,0.206214677
hook_left_p04_Global_hook_left_005_similarity_matrix,Acceleration,0.051356807,0.050374576,0.050866577
hook_left_p04_Global_hook_left_005_similarity_matrix,Velocity,0.049846606,0.049559485,0.049583039
hook_left_p04_Global_hook_left_005_similarity_matrix,Position,0.047649725,0.047789279,0.047838541
hook_left_p04_Global_hook_left_005_similarity_matrix,Joint Angle,0.392186704,0.415958196,0.403919639
hook_left_p04_Global_hook_left_005_similarity_matrix,rotation,0.758295791,0.76643579,0.778062104
hook_left_p04_Global_hook_left_005_similarity_matrix,Overall,0.402972758,0.407112534,0.412950322
hook_left_p05_Global_hook_left_001_similarity_matrix,LShoulder,0.19648862,0.250036724,0.236197281
hook_left_p05_Global_hook_left_001_similarity_matrix,LUArm,0.115216794,0.170382364,0.166879839
hook_left_p05_Global_hook_left_001_similarity_matrix,LFArm,0.173283615,0.227987628,0.227436897
hook_left_p05_Global_hook_left_001_similarity_matrix,LHand,0.106707264,0.146042532,0.148918178
hook_left_p05_Global_hook_left_001_similarity_matrix,RShoulder,0.291818116,0.322738518,0.282420903
hook_left_p05_Global_hook_left_001_similarity_matrix,RUArm,0.115052818,0.167186529,0.150676641
hook_left_p05_Global_hook_left_001_similarity_matrix,RFArm,0.254112945,0.293829098,0.276735237
hook_left_p05_Global_hook_left_001_similarity_matrix,RHand,0.07159924,0.167757444,0.161393817
hook_left_p05_Global_hook_left_001_similarity_matrix,LThigh,0.077559184,0.160501154,0.147550193
hook_left_p05_Global_hook_left_001_similarity_matrix,LShin,0.109449847,0.230660226,0.205037835
hook_left_p05_Global_hook_left_001_similarity_matrix,LFoot,0.145623917,0.264880504,0.2116833
hook_left_p05_Global_hook_left_001_similarity_matrix,LToe,0.045377706,0.108136659,0.089628788
hook_left_p05_Global_hook_left_001_similarity_matrix,RThigh,0.086894902,0.170159075,0.155962429
hook_left_p05_Global_hook_left_001_similarity_matrix,RShin,0.217279475,0.295022104,0.278704742
hook_left_p05_Global_hook_left_001_similarity_matrix,RFoot,0.27805046,0.33918119,0.33168931
